ID_Funcionario,Nome,Departamento,Cargo,Data_Contratacao,Treinamentos_Completos,ROI_Por_Real_Investido,Porcentagem_Aumento_Trafego,Porcentagem_Reducao_CAC
813517,Giovanna Gomes,marketing,junior,2019-05-14,13,2.11,1.43,10.5
762467,Joaquim Novaes,marketing,junior,2020-02-21,8,5.6,13.11,10.0
244574,Dom Novais,marketing,junior,2023-09-03,14,4.83,10.55,1.06
977810,Allana Pimenta,marketing,junior,2015-09-05,11,5.67,29.03,24.66
908005,José Pedro Pereira,marketing,junior,2015-09-28,14,0.99,1.52,23.63
757081,Milena Cardoso,marketing,junior,2023-05-18,9,2.8,17.11,4.87
416793,Lorena Sá,marketing,junior,2022-03-20,14,2.7,13.51,13.75
407083,Pedro Miguel Camargo,marketing,junior,2021-06-04,12,1.41,16.16,23.33
874017,Maria Vitória Pinto,marketing,junior,2019-10-03,1,0.76,22.23,5.98
395878,Asafe Machado,marketing,junior,2017-04-16,6,5.22,17.35,1.13
568400,Lucas Nascimento,marketing,junior,2019-12-04,5,6.9,15.64,10.34
819252,Lucas Gabriel Jesus,marketing,junior,2022-04-20,7,3.75,24.88,1.29
156129,João Felipe Farias,marketing,junior,2019-07-16,6,5.62,21.67,19.04
12275,Dra. Marcela Leão,marketing,junior,2018-03-23,4,1.37,6.9,14.24
126277,Dr. Emanuel Porto,marketing,junior,2017-04-02,15,0.98,16.4,4.6
80599,Dom Moreira,marketing,junior,2020-02-06,1,5.9,6.94,17.68
561226,Isadora da Cruz,marketing,junior,2015-02-17,15,3.52,20.94,10.76
343067,Nathan Vasconcelos,marketing,junior,2022-10-04,15,2.04,11.63,2.12
216710,Lívia Ribeiro,marketing,junior,2021-01-21,8,5.05,14.87,15.42
976301,Lara Ramos,marketing,junior,2015-01-07,12,3.65,10.45,2.44
362178,Oliver Abreu,marketing,junior,2015-07-12,7,1.28,20.8,12.77
105986,Maria Luiza Gonçalves,marketing,junior,2023-01-11,11,1.37,11.52,14.04
618958,Daniel Cunha,marketing,junior,2021-12-31,12,3.76,5.05,11.43
34949,Ana Cecília Marques,marketing,junior,2022-06-06,1,0.87,25.73,11.03
867484,Yuri da Rocha,marketing,junior,2020-12-17,5,6.97,27.28,22.05
874435,Noah Jesus,marketing,junior,2022-03-25,14,0.06,10.31,3.01
403254,Luara Mendes,marketing,junior,2018-05-04,15,1.63,10.39,20.99
378457,Henry Gabriel da Paz,marketing,junior,2017-11-29,1,1.44,29.49,10.5
141089,Augusto Rezende,marketing,junior,2015-04-25,3,4.14,1.87,16.56
250665,Dr. Benicio Sampaio,marketing,junior,2019-08-21,14,5.63,4.19,0.3
115424,Caio Siqueira,marketing,junior,2023-10-23,10,0.3,13.83,4.2
317285,Beatriz Mendonça,marketing,junior,2019-10-19,3,6.36,8.25,11.15
219024,Pedro Moraes,marketing,junior,2021-07-01,10,5.66,14.15,8.94
971050,Isis Souza,marketing,junior,2017-04-27,13,0.15,17.6,22.93
372284,Ana Clara Novais,marketing,junior,2018-06-27,2,1.75,2.03,6.42
342625,Esther Viana,marketing,junior,2017-09-03,1,2.77,26.37,17.26
378820,Ian Castro,marketing,junior,2023-08-10,9,3.61,4.77,7.78
443894,João Felipe Sampaio,marketing,junior,2017-03-27,3,5.46,15.73,14.22
274884,Benício Peixoto,marketing,junior,2023-05-23,2,6.06,17.51,23.61
569134,Pietro Vieira,marketing,junior,2019-03-30,5,3.5,26.02,9.54
700875,Marina Camargo,marketing,junior,2023-02-14,6,6.1,4.52,24.81
264664,Laís Sales,marketing,junior,2016-02-23,1,0.26,5.98,9.33
735860,Lucas Gabriel Guerra,marketing,junior,2021-02-11,4,4.26,23.34,20.79
727177,João Lucas Marques,marketing,junior,2023-04-19,13,6.49,25.12,14.72
601131,Davi Ferreira,marketing,junior,2017-07-21,13,6.38,21.14,16.19
470039,Sr. Ryan Fonseca,marketing,junior,2017-12-03,2,4.7,7.04,7.13
912906,Theo Jesus,marketing,junior,2017-02-01,11,6.24,5.89,18.34
239597,Diego Pires,marketing,junior,2015-02-13,14,4.93,15.64,20.74
770090,Luiz Felipe Aparecida,marketing,junior,2017-02-22,1,0.45,6.65,2.0
959164,Enzo Ramos,marketing,junior,2023-11-03,10,4.24,5.84,23.24
586242,Thiago Pacheco,marketing,junior,2021-06-09,12,2.68,23.66,5.51
783245,Benjamim da Cunha,marketing,junior,2015-02-10,6,2.01,11.97,18.72
796304,Sofia Monteiro,marketing,junior,2017-03-27,6,1.6,25.05,20.91
432406,Carolina Souza,marketing,junior,2022-03-20,10,3.84,7.11,11.78
843863,Letícia Souza,marketing,junior,2017-01-11,6,2.39,9.35,19.99
535191,Sr. Bernardo Rocha,marketing,junior,2021-05-18,9,4.4,1.27,23.44
491795,Pedro Lucas Pires,marketing,junior,2022-12-02,2,3.99,17.07,5.44
183172,Bruno Ramos,marketing,junior,2021-07-21,8,6.91,18.49,24.75
421149,Lucas Câmara,marketing,junior,2022-11-21,8,2.4,24.13,7.63
71515,Rafael Santos,marketing,junior,2018-05-03,4,0.13,26.02,16.24
307935,Carlos Eduardo Camargo,marketing,junior,2023-07-31,2,1.06,26.92,16.42
593969,André Machado,marketing,junior,2018-12-31,11,6.48,28.51,5.56
754709,Benjamim Cardoso,marketing,junior,2020-06-15,9,3.67,11.52,19.78
348695,Luiz Fernando Sousa,marketing,junior,2022-12-24,8,1.52,19.78,11.34
65925,Laura Montenegro,marketing,junior,2018-08-18,8,4.3,14.89,18.23
329832,Bryan Pereira,marketing,junior,2019-02-06,4,6.19,6.98,7.26
277169,Gustavo Henrique Costa,marketing,junior,2015-05-03,15,4.52,14.44,15.68
259309,Agatha Martins,marketing,junior,2022-10-01,7,6.79,8.41,0.78
516854,Vitor Hugo Melo,marketing,junior,2022-01-01,9,5.39,2.95,24.56
642248,Ana Cecília da Luz,marketing,junior,2015-01-09,8,3.19,20.53,17.76
717597,Gabriel Barbosa,marketing,junior,2020-07-19,5,6.63,4.31,22.39
457899,Sr. Pedro Porto,marketing,junior,2020-07-05,9,1.98,10.46,14.37
155599,Sophia Andrade,marketing,junior,2019-02-15,14,4.08,18.34,12.76
78923,Caleb Freitas,marketing,junior,2018-08-26,6,2.02,23.92,9.55
885002,João Lucas da Cunha,marketing,junior,2020-10-11,11,3.97,28.05,8.97
238130,Mirella Fernandes,marketing,junior,2019-06-16,2,3.9,5.76,24.67
269084,Maria Vitória Mendes,marketing,junior,2017-01-30,6,1.12,27.68,1.35
129003,Nicole Araújo,marketing,junior,2017-02-11,13,3.04,10.03,20.13
898269,Dr. Thales Moreira,marketing,junior,2019-08-27,3,0.73,1.57,13.43
453000,Ayla Macedo,marketing,junior,2017-01-07,2,0.56,26.94,7.21
327533,Guilherme Andrade,marketing,junior,2021-08-03,1,3.39,29.12,19.24
626113,Maitê Casa Grande,marketing,junior,2018-05-10,6,0.03,22.15,24.39
180952,Danilo Rodrigues,marketing,junior,2022-10-02,11,0.16,16.15,11.14
146617,Ana Carolina Mendes,marketing,junior,2022-07-07,9,2.03,15.89,23.41
195163,Anthony Dias,marketing,junior,2023-01-13,13,0.46,20.03,18.86
824751,Théo Pinto,marketing,junior,2015-11-23,6,3.6,12.23,19.04
840877,Davi Luiz Garcia,marketing,junior,2020-04-19,13,1.63,12.74,12.48
424680,Sra. Sofia Santos,marketing,junior,2016-06-25,9,2.05,14.94,12.62
169391,Marcela Abreu,marketing,junior,2020-03-06,6,0.2,1.35,20.92
636510,Dra. Julia Correia,marketing,junior,2015-12-14,10,4.37,28.74,17.94
423302,Alexandre Mendonça,marketing,junior,2021-10-01,9,2.43,2.3,20.59
750863,Dra. Aurora Sampaio,marketing,junior,2022-06-15,5,4.63,24.72,23.45
202986,João Lucas Novais,marketing,junior,2022-03-19,5,0.39,26.9,7.85
857685,Vitor Gabriel Costela,marketing,junior,2023-03-01,11,4.32,27.22,9.24
18346,Breno Guerra,marketing,junior,2016-08-23,5,0.63,21.31,10.82
796099,Fernanda Siqueira,marketing,junior,2015-08-28,6,1.72,14.94,2.36
923430,Raquel Silveira,marketing,junior,2020-11-15,14,2.79,5.34,24.13
440579,Juan Martins,marketing,junior,2016-06-15,7,0.14,6.25,9.71
422304,Davi Luiz Martins,marketing,junior,2021-01-20,1,0.88,0.42,2.8
789328,Ana Laura Gonçalves,marketing,junior,2015-06-24,7,2.34,3.08,21.19
868615,Sara Rocha,marketing,junior,2022-05-20,14,6.82,23.45,15.24
684695,Natália Porto,marketing,junior,2023-07-17,7,6.17,2.53,13.44
957385,Mariane Duarte,marketing,junior,2016-10-29,9,5.83,9.12,10.57
374239,Maria Sophia Farias,marketing,junior,2019-03-23,10,4.21,12.26,3.02
995574,Apollo Pimenta,marketing,junior,2015-04-29,6,3.66,3.53,7.62
541521,Dr. João Guilherme Ribeiro,marketing,junior,2023-02-20,3,6.56,9.15,7.09
873292,Caroline Fernandes,marketing,junior,2017-10-29,6,0.19,1.76,9.75
561383,Maria Fernanda das Neves,marketing,junior,2019-12-24,15,1.55,0.59,7.03
419418,Pedro Viana,marketing,junior,2022-09-26,1,6.57,19.23,23.58
787136,Vitor Sá,marketing,junior,2021-09-29,14,0.71,1.67,1.31
42490,Anthony Monteiro,marketing,junior,2022-10-16,8,6.44,19.16,17.33
407057,Isadora Fernandes,marketing,junior,2017-01-14,13,0.15,20.32,9.47
376008,Sr. Davi Lucca Cirino,marketing,junior,2018-01-20,10,5.09,23.54,19.77
636444,Luiz Miguel Marques,marketing,junior,2016-12-01,7,4.09,13.96,15.53
553530,Thomas Sousa,marketing,junior,2017-02-02,6,1.26,7.01,16.13
126112,Mirella Gomes,marketing,junior,2015-03-29,4,0.69,2.14,0.96
402813,Isabela Alves,marketing,junior,2015-05-28,13,4.73,7.5,18.63
552493,Dra. Sabrina Andrade,marketing,junior,2015-12-28,1,1.63,19.79,1.75
90536,Marcelo Novaes,marketing,junior,2016-06-24,9,4.23,28.17,14.69
886417,Ana Vitória Novais,marketing,junior,2015-08-26,2,6.5,11.24,5.96
97255,João Gabriel Vieira,marketing,junior,2022-05-27,11,4.24,9.09,14.41
763709,Gustavo Costa,marketing,junior,2015-03-13,7,5.74,23.81,0.5
35401,Henry Gabriel das Neves,marketing,junior,2021-07-03,3,5.31,27.65,14.88
639899,Gabriel Cavalcante,marketing,junior,2019-04-29,12,1.88,6.29,18.71
78800,Stella Campos,marketing,junior,2019-11-18,2,6.91,24.49,0.04
380368,Srta. Lívia Costa,marketing,junior,2023-12-01,4,3.52,3.31,14.18
794146,Maria Clara Lopes,marketing,junior,2015-05-21,14,0.02,26.12,10.05
770981,Dr. Pietro das Neves,marketing,junior,2023-02-28,12,4.44,26.2,24.24
605875,Arthur Miguel Borges,marketing,junior,2023-07-14,11,6.62,15.58,19.57
827889,Davi Lucca Vieira,marketing,junior,2018-04-04,9,3.7,21.01,21.63
458197,Aylla Cassiano,marketing,junior,2020-08-13,9,2.42,22.24,24.2
74547,Allana da Rocha,marketing,junior,2021-04-03,2,4.44,2.3,6.0
278664,Stephany Jesus,marketing,junior,2019-03-04,3,6.62,26.52,6.6
113147,Rodrigo da Conceição,marketing,junior,2022-04-13,1,5.11,8.39,6.4
865691,Bryan Brito,marketing,junior,2018-04-24,3,3.47,13.78,20.39
20465,Dr. Leandro Vieira,marketing,junior,2022-10-26,4,6.2,24.52,17.18
536867,Daniel Pereira,marketing,junior,2020-05-21,5,6.94,6.74,23.91
745659,Benjamin Silva,marketing,junior,2020-02-26,15,4.31,3.55,23.08
44705,Heloísa da Mata,marketing,junior,2018-07-30,2,1.48,6.74,18.67
784559,Isaque Lopes,marketing,junior,2023-10-18,13,1.09,26.43,0.8
183208,Augusto Gomes,marketing,junior,2019-05-30,15,6.2,2.8,17.96
965701,Dr. Liam Melo,marketing,junior,2022-03-11,4,6.23,23.23,9.69
740976,Lucca Cassiano,marketing,junior,2017-03-08,14,3.99,25.61,5.58
182844,Ayla Vasconcelos,marketing,junior,2020-07-15,15,0.6,21.95,22.94
103534,Sr. Luiz Fernando Siqueira,marketing,junior,2015-09-11,1,4.92,14.29,6.96
847072,Luara Câmara,marketing,junior,2019-05-27,1,6.67,29.15,14.42
296087,Joana Viana,marketing,junior,2019-11-28,15,2.45,23.81,11.6
572863,Lorenzo Fonseca,marketing,junior,2023-08-26,2,6.29,0.88,3.46
967784,Sr. Enzo Costela,marketing,junior,2019-07-08,13,4.09,22.99,7.79
678311,Lucas Gabriel Rodrigues,marketing,junior,2021-09-30,9,3.93,11.57,15.05
709514,Sarah Borges,marketing,junior,2018-04-22,15,5.89,12.08,22.4
65180,Sra. Maria Luiza Sampaio,marketing,junior,2019-03-09,6,1.87,14.29,13.27
536738,Yasmin da Rosa,marketing,junior,2018-12-18,3,6.49,2.52,10.79
36439,Brenda Vargas,marketing,junior,2022-04-01,4,4.77,19.39,23.97
184803,Zoe Lopes,marketing,junior,2015-07-29,8,1.54,24.72,17.29
738403,Dr. Thales da Mota,marketing,junior,2023-12-08,3,1.89,15.58,16.0
95625,Marcelo Silveira,marketing,junior,2016-03-02,4,4.62,4.25,12.45
869359,Stella Silveira,marketing,junior,2017-04-08,2,3.18,6.52,20.64
763112,Cecilia Pinto,marketing,junior,2015-07-20,11,0.22,27.99,6.22
42688,Raul Rios,marketing,junior,2019-01-03,15,0.97,13.26,7.83
187687,Oliver Alves,marketing,junior,2023-08-31,4,5.29,18.46,7.56
101282,Maria Liz Ramos,marketing,junior,2016-07-03,3,3.28,21.69,6.92
165388,Pedro Lucas Vieira,marketing,junior,2015-05-08,10,4.88,17.67,14.52
528028,João Lucas Lopes,marketing,junior,2021-07-09,12,0.43,7.51,0.94
725628,Sr. Davi Campos,marketing,junior,2020-03-26,6,0.83,6.92,15.04
677203,Bruno Cunha,marketing,junior,2016-05-14,15,1.98,9.42,15.06
71885,Sr. Matheus da Cruz,marketing,junior,2020-04-16,9,3.1,9.08,9.17
525984,Paulo Gomes,marketing,junior,2019-02-19,1,0.42,25.64,9.6
253725,Danilo Vargas,marketing,junior,2021-09-13,4,3.19,22.45,2.89
255869,Antonella Sousa,marketing,junior,2019-08-14,3,5.21,6.67,1.86
619499,Maria Vitória Guerra,marketing,junior,2017-12-17,1,3.43,18.34,17.75
189027,Maria Cecília Casa Grande,marketing,junior,2019-04-08,13,1.1,9.04,5.75
705078,Dra. Rebeca Gomes,marketing,junior,2017-04-26,12,0.54,15.14,17.59
26152,Felipe Vieira,marketing,junior,2020-04-11,3,0.1,24.91,15.12
942584,Maysa Camargo,marketing,junior,2018-07-12,5,1.56,12.19,6.96
667015,Isabel Azevedo,marketing,junior,2016-04-05,14,4.38,15.74,3.5
491730,Pedro Miguel Brito,marketing,junior,2017-05-26,6,6.53,29.86,4.9
384569,Mathias Melo,marketing,junior,2023-11-29,12,4.53,19.25,9.96
185902,Fernando da Rosa,marketing,junior,2018-10-04,12,1.29,25.73,10.91
300070,Davi Lucas Mendonça,marketing,junior,2015-10-14,4,4.52,4.14,4.7
545074,Bruna Novaes,marketing,junior,2022-06-08,7,5.5,29.42,13.29
637930,Yuri Aragão,marketing,junior,2023-06-11,10,5.56,17.13,24.87
700487,Thomas Aragão,marketing,junior,2022-02-23,14,1.48,3.32,7.23
30105,Kamilly Cavalcante,marketing,junior,2017-09-30,10,4.45,18.57,3.46
206623,Maria Clara Barros,marketing,junior,2015-10-01,2,5.58,29.18,12.51
309434,Nicole Correia,marketing,junior,2020-07-10,5,1.55,11.13,9.07
642008,Ana Liz Pinto,marketing,junior,2021-05-18,10,3.33,3.0,14.73
291839,Lavínia da Rosa,marketing,junior,2021-07-02,11,4.79,27.83,5.26
502027,Camila Macedo,marketing,junior,2019-07-16,6,2.14,21.8,20.73
527668,Lorenzo Dias,marketing,junior,2019-04-13,8,6.78,10.61,20.13
92843,Dr. Isaque Correia,marketing,junior,2018-09-20,5,5.73,6.07,16.55
390874,Eduardo Fogaça,marketing,junior,2015-03-27,12,3.23,9.99,16.94
754026,Nina Fogaça,marketing,junior,2020-09-17,13,1.27,17.26,11.35
712800,Ana Lívia Gomes,marketing,junior,2015-04-10,7,3.13,11.98,5.14
637111,Rael Mendes,marketing,junior,2017-02-09,14,0.05,24.1,10.01
563861,Mirella Rodrigues,marketing,junior,2015-11-06,9,5.14,4.33,10.19
113550,Dra. Sophie Moura,marketing,junior,2016-08-25,12,2.3,11.24,3.63
388117,Yasmin Jesus,marketing,junior,2019-09-17,6,0.84,21.38,3.16
704552,João Vitor Montenegro,marketing,junior,2015-05-03,12,5.05,9.0,1.87
951732,Julia Abreu,marketing,junior,2023-10-06,4,5.35,24.21,23.77
255730,Diego da Rosa,marketing,junior,2020-08-24,14,4.52,11.73,4.83
861755,Vitória Andrade,marketing,junior,2016-08-22,7,1.58,28.47,3.51
37789,Caleb Brito,marketing,junior,2016-07-25,12,4.39,12.78,4.21
213423,Fernando Pereira,marketing,junior,2015-03-02,10,6.72,9.68,2.79
988198,Yuri Cardoso,marketing,junior,2018-12-20,12,5.65,18.12,18.0
142925,Dra. Ana Carolina Fernandes,marketing,junior,2023-12-19,3,4.95,26.37,12.49
439773,Laura Rios,marketing,junior,2019-11-21,13,4.35,28.06,22.21
794846,Carolina Caldeira,marketing,junior,2019-05-31,4,6.25,21.37,1.82
386695,Beatriz Araújo,marketing,junior,2019-05-27,7,4.0,18.39,1.13
857674,Valentina Sales,marketing,junior,2020-04-01,14,6.91,24.8,9.29
910890,José Miguel Lopes,marketing,junior,2022-07-14,5,1.09,17.96,15.54
944714,Nina Carvalho,marketing,junior,2019-04-16,2,4.64,6.69,15.94
359000,Maria Eduarda Farias,marketing,junior,2018-07-17,5,3.98,28.46,8.53
31742,Anthony Gabriel Aparecida,marketing,junior,2018-10-26,2,3.94,24.41,19.22
108931,Gael Henrique Castro,marketing,junior,2016-02-01,5,4.86,11.58,16.67
565075,João Miguel Barros,marketing,junior,2021-05-07,15,1.24,18.72,16.93
302930,Vicente Rodrigues,marketing,junior,2023-02-21,6,4.35,17.71,24.79
974914,Sra. Giovanna Pimenta,marketing,junior,2018-01-06,1,3.59,29.46,22.61
461860,Liz Dias,marketing,junior,2021-09-03,8,6.6,21.57,13.81
927954,João Guilherme Gomes,marketing,junior,2016-02-17,14,1.08,24.04,19.47
571242,Srta. Lorena Pereira,marketing,junior,2022-07-26,2,6.15,17.26,4.73
811726,Luiza Abreu,marketing,junior,2018-10-12,12,4.72,26.96,11.15
339064,Lavínia Garcia,marketing,junior,2016-10-27,10,4.37,2.44,12.27
756620,Alexia da Mota,marketing,junior,2020-04-11,10,6.56,13.68,4.94
297343,José Pedro da Costa,marketing,junior,2017-06-14,12,3.57,8.69,0.59
47283,Caroline Garcia,marketing,junior,2017-01-24,3,3.58,9.3,5.41
11677,João Felipe Peixoto,marketing,junior,2019-08-17,8,3.5,21.6,18.0
893763,Amanda Araújo,marketing,junior,2020-09-25,1,1.96,19.61,7.44
210848,Srta. Ana Laura Rodrigues,marketing,junior,2018-05-29,14,0.1,2.58,5.87
366801,Davi Nogueira,marketing,junior,2021-03-17,2,6.81,17.3,1.1
659952,Julia Gonçalves,marketing,junior,2022-02-21,13,4.06,11.16,24.59
35237,Dra. Eloah Aparecida,marketing,junior,2019-05-31,9,5.7,22.55,12.36
957917,Dr. Vinícius Fonseca,marketing,junior,2016-02-27,10,2.12,6.7,21.64
654791,Maria Isis Ferreira,marketing,junior,2015-08-18,2,5.0,24.25,23.7
317241,Giovanna Aragão,marketing,junior,2016-10-09,5,1.61,18.55,14.27
257218,Cauê Nogueira,marketing,junior,2018-01-13,10,3.79,0.52,4.01
796662,Bento Cardoso,marketing,junior,2015-03-22,3,1.88,27.35,6.5
653887,Maria Luísa Cardoso,marketing,junior,2019-06-26,11,0.0,13.82,19.97
464884,Ana Julia Lima,marketing,junior,2021-12-11,3,2.47,5.8,23.05
730903,Valentina Sousa,marketing,junior,2018-05-13,4,2.99,17.05,24.76
199050,Marcos Vinicius Pimenta,marketing,junior,2022-08-05,2,6.66,9.01,21.58
990398,Clara Novaes,marketing,junior,2017-07-14,7,6.48,20.92,12.65
977182,Daniel Gomes,marketing,junior,2023-05-29,8,3.05,24.45,3.85
14644,Maria Guerra,marketing,junior,2015-07-31,3,0.7,2.47,18.44
55623,Caroline da Costa,marketing,junior,2015-01-17,11,0.23,8.74,21.09
799227,Laura Porto,marketing,junior,2020-10-27,12,1.05,2.2,19.26
403994,Sabrina Fogaça,marketing,junior,2016-02-28,14,2.74,10.35,1.22
955002,Sr. Calebe Caldeira,marketing,junior,2020-05-08,13,1.99,0.54,14.73
104963,Ísis da Rocha,marketing,junior,2015-02-01,14,6.71,24.07,6.84
504012,Bryan Vieira,marketing,junior,2017-10-14,12,5.36,8.66,24.95
379594,Cecilia Caldeira,marketing,junior,2020-12-28,13,0.79,13.54,3.04
185688,Enzo Teixeira,marketing,junior,2021-07-05,15,3.82,7.51,0.46
901281,Nathan Porto,marketing,junior,2022-03-22,9,1.96,25.49,24.53
429232,Juliana Sousa,marketing,junior,2021-11-07,1,3.49,22.16,10.17
128882,Lucas Gabriel Câmara,marketing,junior,2016-12-08,10,5.78,8.78,3.41
444708,Ana Vitória Azevedo,marketing,junior,2017-05-05,13,1.76,13.0,3.97
862465,Alexandre Sales,marketing,junior,2022-07-30,8,1.98,5.31,19.23
105406,Daniel Marques,marketing,junior,2023-07-31,2,0.26,0.35,14.69
806568,Anthony da Conceição,marketing,junior,2019-07-10,12,1.2,4.71,18.44
967746,Dr. Enrico Santos,marketing,junior,2015-09-07,7,0.59,4.73,1.83
778800,Clara Abreu,marketing,junior,2017-09-17,4,5.8,17.83,16.51
537247,Ágatha Machado,marketing,junior,2019-05-04,2,0.98,23.7,17.47
944620,Bernardo Nascimento,marketing,junior,2018-09-25,7,2.53,15.48,13.25
761019,Marina Santos,marketing,junior,2015-01-11,10,6.18,20.4,9.79
963234,Sr. Anthony Gabriel Cardoso,marketing,junior,2016-03-24,13,6.2,2.29,15.09
227152,Henrique Nunes,marketing,junior,2023-06-15,13,3.45,11.86,10.88
609687,Stephany da Cunha,marketing,junior,2017-09-20,10,5.72,15.27,4.59
461771,Théo Araújo,marketing,junior,2018-04-25,15,2.4,7.12,21.57
17696,Sr. Henry Gabriel Machado,marketing,junior,2017-06-02,9,4.49,5.22,5.4
243408,Luísa Gomes,marketing,junior,2023-03-16,6,2.05,18.2,21.45
420505,Emanuelly Souza,marketing,junior,2015-10-04,3,5.08,22.89,10.29
464956,Miguel Caldeira,marketing,junior,2017-01-03,2,6.87,16.96,23.31
900341,Bento Martins,marketing,junior,2016-07-11,2,2.78,15.72,13.34
956795,Sr. João Lucas Cassiano,marketing,junior,2018-09-13,8,4.01,13.49,18.47
260002,Diego das Neves,marketing,junior,2022-08-11,2,4.81,12.15,3.76
259583,Manuela Marques,marketing,junior,2022-08-05,15,0.75,21.87,9.15
759110,Srta. Ana Luiza Cunha,marketing,junior,2021-08-13,9,1.46,9.72,12.01
990321,Beatriz Nascimento,marketing,junior,2019-04-09,1,1.13,11.79,6.18
33260,Dra. Manuella da Conceição,marketing,junior,2021-09-18,14,0.12,24.7,4.84
387753,Bárbara Alves,marketing,junior,2018-09-23,3,5.43,6.87,11.34
304583,Olívia Pereira,marketing,junior,2023-11-24,6,2.97,10.77,8.17
258343,Gustavo Nascimento,marketing,junior,2023-08-17,4,1.37,1.27,11.32
19877,Luiz Henrique Mendes,marketing,junior,2022-10-03,7,0.8,5.9,0.44
859609,Caleb Montenegro,marketing,junior,2018-10-23,9,0.14,19.65,14.64
571257,Fernanda Azevedo,marketing,junior,2019-09-03,3,6.18,25.44,23.89
649804,Otto Porto,marketing,junior,2019-07-28,1,5.53,12.71,8.87
990385,Valentim Castro,marketing,junior,2022-09-23,1,1.63,14.25,10.19
267856,Olívia Silva,marketing,junior,2022-06-06,9,6.87,1.31,6.36
887235,Benicio Freitas,marketing,junior,2016-08-09,2,5.35,18.4,9.75
784601,Liz Machado,marketing,junior,2020-02-24,9,0.86,16.72,18.78
514966,Diego Albuquerque,marketing,junior,2016-02-02,4,5.79,7.65,17.87
105091,Apollo da Mata,marketing,junior,2016-11-08,9,4.51,3.7,13.42
957156,Dr. Henry Jesus,marketing,junior,2017-02-09,10,0.26,2.69,18.22
162423,Emilly Farias,marketing,junior,2015-09-07,15,2.61,23.91,7.22
418217,Yago Oliveira,marketing,junior,2018-10-04,6,0.02,24.52,6.97
609693,Cecilia Brito,marketing,junior,2022-04-06,4,2.72,13.77,0.39
613831,Vitor Novaes,marketing,junior,2017-09-29,5,5.68,26.45,22.84
330815,Sra. Maria Cavalcanti,marketing,junior,2016-03-24,15,3.52,27.59,15.28
121654,Vitor Hugo Câmara,marketing,junior,2015-04-28,7,6.87,19.71,7.87
534019,Dr. Enzo Gabriel Araújo,marketing,junior,2016-05-23,8,5.75,4.08,1.1
419934,Rafael da Rosa,marketing,junior,2018-08-23,7,4.81,5.31,15.85
828436,Dra. Maysa da Rosa,marketing,junior,2018-01-16,15,2.36,25.88,23.26
898926,Luísa Silveira,marketing,junior,2022-03-22,2,0.5,9.0,15.34
81196,Julia Teixeira,marketing,junior,2019-05-15,7,0.32,11.64,0.83
170730,Rebeca Guerra,marketing,junior,2022-08-31,9,5.45,26.86,24.9
34584,Isadora Nunes,marketing,junior,2017-07-05,10,2.0,13.78,6.37
905413,Brenda Cardoso,marketing,junior,2015-05-12,14,3.35,22.97,17.48
865634,Cecilia Barbosa,marketing,junior,2016-02-27,12,0.02,29.53,1.44
